['04.11.2021', '1', '57,6141']
['03.11.2021', '1', '57,6717']
['02.11.2021', '1', '57,3786']
['30.10.2021', '1', '57,0920']
['29.10.2021', '1', '56,9956']
['28.10.2021', '1', '56,2397']
['27.10.2021', '1', '56,1996']
['26.10.2021', '1', '56,8259']
['23.10.2021', '1', '57,4435']
['22.10.2021', '1', '57,5240']
['21.10.2021', '1', '57,5581']
['20.10.2021', '1', '57,5894']
['19.10.2021', '1', '57,4148']
['16.10.2021', '1', '57,6959']
['15.10.2021', '1', '57,9095']
['14.10.2021', '1', '57,7449']
['13.10.2021', '1', '57,6517']
['12.10.2021', '1', '57,4708']
['09.10.2021', '1', '57,3611']
['08.10.2021', '1', '57,3967']
['07.10.2021', '1', '57,4343']
['06.10.2021', '1', '57,6124']
['05.10.2021', '1', '57,7386']
['02.10.2021', '1', '57,3372']
['01.10.2021', '1', '57,1349']
['30.09.2021', '1', '57,3462']
['29.09.2021', '1', '57,3324']
['28.09.2021', '1', '57,4534']
['25.09.2021', '1', '57,5637']
['24.09.2021', '1', '57,4761']
['23.09.2021', '1', '56,9424']
['22.09.2021', '1', '57,3675']
['21.09.2021', '1', '57,2679']
['18.09.2021', '1', '57,3916']
['17.09.2021', '1', '57,2864']
['16.09.2021', '1', '57,4633']
['15.09.2021', '1', '57,5066']
['14.09.2021', '1', '57,6782']
['11.09.2021', '1', '57,7140']
['10.09.2021', '1', '57,6182']
['09.09.2021', '1', '57,8375']
['08.09.2021', '1', '58,2313']
['07.09.2021', '1', '58,1630']
['04.09.2021', '1', '58,1209']
['03.09.2021', '1', '57,8167']
['02.09.2021', '1', '58,1298']
['01.09.2021', '1', '58,2080']
['31.08.2021', '1', '58,3553']
['28.08.2021', '1', '58,3905']
['27.08.2021', '1', '58,6530']
['26.08.2021', '1', '58,5167']
['25.08.2021', '1', '58,5483']
['24.08.2021', '1', '58,0732']
['21.08.2021', '1', '57,5885']
['20.08.2021', '1', '58,1753']
['19.08.2021', '1', '58,2303']
['18.08.2021', '1', '58,2582']
['17.08.2021', '1', '58,5263']
['14.08.2021', '1', '58,6604']
['13.08.2021', '1', '58,7784']
['12.08.2021', '1', '59,0245']
['11.08.2021', '1', '58,5398']
['10.08.2021', '1', '58,5720']
['07.08.2021', '1', '58,4622']
['06.08.2021', '1', '58,3943']
['05.08.2021', '1', '58,0613']
['04.08.2021', '1', '58,2420']
['03.08.2021', '1', '58,6000']
['31.07.2021', '1', '58,8405']
['30.07.2021', '1', '58,7309']
['29.07.2021', '1', '58,5079']
['28.07.2021', '1', '58,6554']
['27.07.2021', '1', '58,8734']
['24.07.2021', '1', '58,6704']
['23.07.2021', '1', '58,6133']
['22.07.2021', '1', '58,6896']
['21.07.2021', '1', '58,4106']
['20.07.2021', '1', '58,5035']
['17.07.2021', '1', '58,9645']
['16.07.2021', '1', '59,3188']
['15.07.2021', '1', '59,2704']
['14.07.2021', '1', '59,4039']
['13.07.2021', '1', '59,8793']
['10.07.2021', '1', '59,4646']
['09.07.2021', '1', '59,8688']
['08.07.2021', '1', '59,5369']
['07.07.2021', '1', '59,3391']
['06.07.2021', '1', '59,4489']
['03.07.2021', '1', '59,2304']
['02.07.2021', '1', '58,7499']
['01.07.2021', '1', '58,5912']
['30.06.2021', '1', '58,5110']
['29.06.2021', '1', '58,6620']
['26.06.2021', '1', '58,6505']
['25.06.2021', '1', '58,8495']
['24.06.2021', '1', '59,1126']
['23.06.2021', '1', '59,0525']
['22.06.2021', '1', '58,7375']
['19.06.2021', '1', '58,4412']
['18.06.2021', '1', '58,9326']
['17.06.2021', '1', '59,1156']
['16.06.2021', '1', '59,1062']
